Date,CAD_Holdings_MV,USD_Holdings_MV,CAD_Cash,USD_Cash,Total_Cash_CAD,Total_Holdings_CAD,Total_Portfolio_Value
2023-01-06,0.0,8421.390106201172,91987.0715887332,38.71,92041.38171862245,11815.210294906454,103856.5920135289
2023-01-09,0.0,8432.289978027344,91987.0715887332,38.71,92041.38171862245,11830.502815047388,103871.88453366983
2023-01-10,0.0,8566.649963378906,91987.0715887332,38.71,92041.38171862245,12019.009874111223,104060.39159273368
2023-01-11,0.0,8613.139953613281,91987.0715887332,38.71,92041.38171862245,12084.235330277043,104125.6170488995
2023-01-12,0.0,8593.610046386719,91987.0715887332,38.71,92041.38171862245,12056.83487049405,104098.21658911649
2023-01-13,0.0,8646.399932861328,91987.0715887332,38.71,92041.38171862245,12130.899081066895,104172.28079968934
2023-01-16,0.0,8646.399932861328,91987.0715887332,38.71,92041.38171862245,12130.899081066895,104172.28079968934
2023-01-17,0.0,8580.0400390625,91987.0715887332,38.71,92041.38171862245,12037.796150256996,104079.17786887944
2023-01-18,0.0,8525.800109863281,91987.0715887332,38.71,92041.38171862245,11961.697529745674,104003.07924836813
2023-01-19,0.0,8387.220031738281,91987.0715887332,38.71,92041.38171862245,11767.26968053278,103808.65139915523
2023-01-20,0.0,8580.039794921875,91987.0715887332,38.71,92041.38171862245,12037.7958077277,104079.17752635015
2023-01-23,0.0,8657.730163574219,91987.0715887332,38.71,92041.38171862245,12146.795394724664,104188.1771133471
2023-01-24,0.0,8755.570068359375,91987.0715887332,38.71,92041.38171862245,12284.064780858316,104325.44649948076
2023-01-25,0.0,8619.86996459961,91987.0715887332,38.71,92041.38171862245,12093.677535671606,104135.05925429406
2023-01-26,0.0,8736.679931640625,91987.0715887332,38.71,92041.38171862245,12257.561919095955,104298.9436377184
2023-01-27,0.0,8727.509948730469,91987.0715887332,38.71,92041.38171862245,12244.696433099241,104286.07815172168
2023-01-30,0.0,8677.999969482422,91987.0715887332,38.71,92041.38171862245,12175.23393235588,104216.61565097833
2023-01-31,0.0,8731.720001220703,91987.0715887332,38.71,92041.38171862245,12250.603136730995,104291.98485535344
2023-02-01,0.0,8643.280029296875,91987.0715887332,38.71,92041.38171862245,12126.521856374893,104167.90357499734
2023-02-02,0.0,8757.18002319336,91987.0715887332,38.71,92041.38171862245,12286.32354748579,104327.70526610824
2023-02-03,0.0,8686.509887695312,91987.0715887332,38.71,92041.38171862245,12187.17334758422,104228.55506620667
2023-02-06,0.0,8571.56997680664,91987.0715887332,38.71,92041.38171862245,12025.912652936258,104067.2943715587
2023-02-07,0.0,8654.339904785156,91987.0715887332,38.71,92041.38171862245,12142.03886165331,104183.42058027576
2023-02-08,0.0,8527.509979248047,91987.0715887332,38.71,92041.38171862245,11964.096476487608,104005.47819511006
2023-02-09,0.0,8476.500091552734,91987.0715887332,38.71,92041.38171862245,11892.529604197025,103933.91132281948
2023-02-10,0.0,8627.029998779297,91987.0715887332,38.71,92041.38171862245,12103.723063605223,104145.10478222767
2023-02-13,0.0,8844.709991455078,91987.0715887332,38.71,92041.38171862245,12409.128092706556,104450.509811329
2023-02-14,0.0,8745.239868164062,91987.0715887332,38.71,92041.38171862245,12269.571510013848,104310.9532286363
2023-02-15,0.0,8764.200134277344,91987.0715887332,38.71,92041.38171862245,12296.172763316536,104337.55448193898
2023-02-16,0.0,8660.710021972656,91987.0715887332,38.71,92041.38171862245,12150.976136049147,104192.3578546716
2023-02-17,0.0,8697.010070800781,91987.0715887332,38.71,92041.38171862245,12201.90510445115,104243.2868230736
2023-02-21,0.0,8569.479858398438,91987.0715887332,38.71,92041.38171862245,12022.98021681553,104064.36193543798
2023-02-22,0.0,8553.08999633789,91987.0715887332,38.71,92041.38171862245,11999.985240391474,104041.36695901392
2023-02-23,0.0,8652.850067138672,91987.0715887332,38.71,92041.38171862245,12139.948619439554,104181.330338062
2023-02-24,0.0,8637.919860839844,91987.0715887332,38.71,92041.38171862245,12119.001540045014,104160.38325866745
2023-02-27,0.0,8638.27993774414,91987.0715887332,38.71,92041.38171862245,12119.506727940712,104160.88844656316
2023-02-28,0.0,8702.370025634766,91987.0715887332,41.75,92045.64683861376,12209.425121067896,104255.07195968165
2023-03-01,0.0,8712.140167236328,91987.0715887332,41.75,92045.64683861376,12223.132629706935,104268.77946832069
2023-03-02,0.0,8760.649993896484,91987.0715887332,41.75,92045.64683861376,12291.191916372347,104336.8387549861
2023-03-03,0.0,8874.779968261719,91987.0715887332,41.75,92045.64683861376,12451.316270080242,104496.963108694
2023-03-06,0.0,8850.89013671875,91987.0715887332,41.75,92045.64683861376,12417.798836493806,104463.44567510756
2023-03-07,0.0,8719.5400390625,91987.0715887332,41.75,92045.64683861376,12233.514649857883,104279.16148847164
2023-03-08,0.0,8755.549987792969,91987.0715887332,50.15,92057.43203858973,12284.036607823706,104341.46864641344
2023-03-09,0.0,8593.719970703125,91987.0715887332,50.15,92057.43203858973,12056.989094309654,104114.42113289938
2023-03-10,0.0,8261.469940185547,91987.0715887332,50.15,92057.43203858973,11590.842302444067,103648.2743410338
2023-03-13,0.0,8169.6298828125,91987.0715887332,50.15,92057.43203858973,11461.990702212439,103519.42274080217
2023-03-14,0.0,8389.060089111328,91987.0715887332,50.15,92057.43203858973,11769.8512810219,103827.28331961163
2023-03-15,0.0,8175.759796142578,91987.0715887332,50.15,92057.43203858973,11470.590970597,103528.02300918673
2023-03-16,0.0,8262.559997558594,91987.0715887332,50.15,92057.43203858973,11592.371652935333,103649.80369152507
2023-03-17,0.0,8001.660095214844,91987.0715887332,50.15,92057.43203858973,11226.329090693493,103283.76112928323
2023-03-20,0.0,8121.1600341796875,91987.0715887332,50.15,92057.43203858973,11393.987504719276,103451.419543309
2023-03-21,0.0,8345.009948730469,91987.0715887332,50.15,92057.43203858973,11708.048934193583,103765.48097278332
2023-03-22,0.0,8149.390075683594,91987.0715887332,50.15,92057.43203858973,11433.59425286849,103491.02629145823
2023-03-23,0.0,8194.410034179688,91987.0715887332,50.15,92057.43203858973,11496.757254509706,103554.18929309944
2023-03-24,0.0,8289.990112304688,91987.0715887332,50.15,92057.43203858973,11630.856103845625,103688.28814243535
2023-03-27,0.0,8288.06005859375,91987.0715887332,50.15,92057.43203858973,11628.148238494701,103685.58027708443
2023-03-28,0.0,8273.330017089844,91987.0715887332,50.15,92057.43203858973,11607.481990306864,103664.9140288966
2023-03-29,0.0,8343.329895019531,91987.0715887332,50.15,92057.43203858973,11705.691818841944,103763.12385743167
2023-03-30,0.0,8364.460083007812,91987.0715887332,50.15,92057.43203858973,11735.337472529049,103792.76951111878
2023-03-31,0.0,8497.2900390625,91987.0715887332,50.15,92057.43203858973,11921.697900493746,103979.12993908348
2023-04-03,0.0,8475.069946289062,91987.0715887332,50.15,92057.43203858973,11890.523110396185,103947.95514898592
2023-04-04,0.0,8331.18002319336,91987.0715887332,50.15,92057.43203858973,11688.645548704586,103746.07758729432
2023-04-05,0.0,8302.550048828125,91987.0715887332,53.0,92061.43058858157,11648.477694752073,103709.90828333364
2023-04-06,0.0,8234.470092773438,91987.0715887332,53.0,92061.43058858157,11552.961516602125,103614.3921051837
2023-04-10,0.0,8281.740051269531,91987.0715887332,53.0,92061.43058858157,11619.281268236904,103680.71185681847
2023-04-11,0.0,8360.170043945312,91987.0715887332,53.0,92061.43058858157,11729.318547736635,103790.7491363182
2023-04-12,0.0,8431.059844970703,91987.0715887332,53.0,92061.43058858157,11828.77693837244,103890.20752695401
2023-04-13,0.0,8525.209930419922,91987.0715887332,53.0,92061.43058858157,11960.86950798833,104022.3000965699
2023-04-14,0.0,8555.269927978516,91987.0715887332,53.0,92061.43058858157,12003.043684477034,104064.4742730586
2023-04-17,0.0,8640.2001953125,91987.0715887332,53.0,92061.43058858157,12122.200849303626,104183.6314378852
2023-04-18,0.0,8664.319885253906,91987.0715887332,53.0,92061.43058858157,12156.040774222412,104217.47136280398
2023-04-19,0.0,8866.55990600586,91987.0715887332,53.0,92061.43058858157,12439.78352275879,104501.21411134036
2023-04-20,0.0,8853.560180664062,91987.0715887332,53.0,92061.43058858157,12421.54490814144,104482.97549672301
