Date,CAD_Cash,USD_Cash,Total_CAD
2023-09-01,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-05,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-06,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-07,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-08,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-11,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-12,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-13,1887.58360212852,325.48499999999996,2327.304082288041
2023-09-14,1896.50360212852,325.48499999999996,2337.6171486889266
2023-09-15,1896.50360212852,380.89,2411.2688220601226
2023-09-18,1896.50360212852,380.89,2411.2688220601226
2023-09-19,1896.50360212852,380.89,2411.2688220601226
2023-09-20,1896.50360212852,380.89,2411.2688220601226
2023-09-21,1896.50360212852,380.89,2411.2688220601226
2023-09-22,1896.50360212852,380.89,2411.2688220601226
2023-09-25,1949.85560212852,380.89,2463.181055055871
2023-09-26,1949.85560212852,380.89,2463.181055055871
2023-09-27,1949.85560212852,380.89,2463.181055055871
2023-09-28,1949.85560212852,380.89,2463.181055055871
2023-09-29,1949.85560212852,380.89,2463.181055055871
2023-10-02,1949.85560212852,420.72499999999997,2520.9351033550647
2023-10-03,1949.85560212852,420.72499999999997,2520.9351033550647
2023-10-04,1949.85560212852,420.72499999999997,2520.9351033550647
2023-10-05,1949.85560212852,423.575,2532.0255734545135
2023-10-06,1949.85560212852,423.575,2532.0255734545135
2023-10-09,1949.85560212852,423.575,2532.0255734545135
2023-10-10,1949.85560212852,423.575,2532.0255734545135
2023-10-11,1949.85560212852,423.575,2532.0255734545135
2023-10-12,1949.85560212852,423.575,2532.0255734545135
2023-10-13,1949.85560212852,423.575,2532.0255734545135
2023-10-16,1949.85560212852,423.575,2532.0255734545135
2023-10-17,1949.85560212852,423.575,2532.0255734545135
2023-10-18,1949.85560212852,423.575,2532.0255734545135
2023-10-19,1949.85560212852,423.575,2532.0255734545135
2023-10-20,1949.85560212852,423.575,2532.0255734545135
2023-10-23,1949.85560212852,423.575,2532.0255734545135
2023-10-24,1949.85560212852,423.575,2532.0255734545135
2023-10-25,2003.9486021285202,423.575,2586.008445877328
2023-10-26,2003.9486021285202,423.575,2586.008445877328
2023-10-27,2003.9486021285202,423.575,2586.008445877328
2023-10-30,2003.9486021285202,423.575,2586.008445877328
2023-10-31,2003.9486021285202,423.575,2586.008445877328
2023-11-01,2003.9486021285202,466.51,2651.3058811144974
2023-11-02,2003.9486021285202,466.51,2651.3058811144974
2023-11-03,2003.9486021285202,466.51,2651.3058811144974
2023-11-06,2003.9486021285202,466.51,2651.3058811144974
2023-11-07,2003.9486021285202,466.51,2651.3058811144974
2023-11-08,2003.9486021285202,476.03,2659.3705118959097
2023-11-09,2003.9486021285202,476.03,2659.3705118959097
2023-11-10,2003.9486021285202,476.98999999999995,2662.5286913983964
2023-11-13,2003.9486021285202,476.98999999999995,2662.5286913983964
2023-11-14,2003.9486021285202,476.98999999999995,2662.5286913983964
2023-11-15,2003.9486021285202,476.98999999999995,2662.5286913983964
2023-11-16,2003.9486021285202,496.93999999999994,2683.9314893870496
2023-11-17,2003.9486021285202,496.93999999999994,2683.9314893870496
2023-11-20,2003.9486021285202,496.93999999999994,2683.9314893870496
2023-11-21,2216.8016021285202,496.93999999999994,2898.807056835666
2023-11-22,2216.8016021285202,496.93999999999994,2898.807056835666
2023-11-23,2216.8016021285202,496.93999999999994,2898.807056835666
2023-11-24,2216.8016021285202,496.93999999999994,2898.807056835666
2023-11-27,2216.8016021285202,496.93999999999994,2898.807056835666
2023-11-28,2216.8016021285202,499.97999999999996,2897.1243937549734
2023-11-29,2216.8016021285202,499.97999999999996,2897.1243937549734
2023-11-30,2216.8016021285202,499.97999999999996,2897.1243937549734
2023-12-01,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-04,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-05,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-06,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-07,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-08,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-11,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-12,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-13,2216.8016021285202,542.4499999999999,2952.1739164862774
2023-12-14,2225.7216021285203,586.16,3017.5124216017866
2023-12-15,2225.7216021285203,652.87,3101.0244309280065
2023-12-18,2225.7216021285203,652.87,3101.0244309280065
2023-12-19,2225.7216021285203,652.87,3101.0244309280065
2023-12-20,2225.7216021285203,652.87,3101.0244309280065
2023-12-21,2225.7216021285203,652.87,3101.0244309280065
2023-12-22,2225.7216021285203,652.87,3101.0244309280065
2023-12-26,2225.7216021285203,652.87,3101.0244309280065
2023-12-27,-7267.947674519048,3806.4000000000005,-2245.3267592968787
2023-12-28,3609.5579999999995,-4597.13579504633,-2459.580522297369
2023-12-29,3609.5579999999995,-4597.13579504633,-2459.580522297369
2024-01-02,3609.5579999999995,-4597.13579504633,-2459.580522297369
2024-01-03,3609.5579999999995,-4597.13579504633,-2459.580522297369
2024-01-04,3609.5579999999995,-4597.13579504633,-2459.580522297369
2024-01-05,3609.5579999999995,-4597.13579504633,-2459.580522297369
2024-01-08,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-09,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-10,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-11,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-12,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-15,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-16,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-17,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-18,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-19,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-22,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-23,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-24,3609.5579999999995,-4593.83579504633,-2527.715010605521
2024-01-25,3664.3919999999994,-4593.83579504633,-2548.954740534117
2024-01-26,3664.3919999999994,-4593.83579504633,-2548.954740534117
2024-01-29,3664.3919999999994,-4593.83579504633,-2548.954740534117
2024-01-30,3669.8489999999993,-4593.83579504633,-2491.12808431937
2024-01-31,3669.8489999999993,-4593.83579504633,-2491.12808431937
2024-02-01,3669.8489999999993,-4528.58779504633,-2414.534981740331
2024-02-02,3669.8489999999993,-4528.58779504633,-2414.534981740331
